Date,Symbol,Open,High,Low,Close,Volume,Marketcap
2019-01-04,AAPL,144.53,148.5499,143.8,148.12,51267225,7593701367
2019-01-07,AAPL,148.7,148.83,145.9,147.91,49982480,7392908616.8
2019-01-08,AAPL,149.56,151.82,148.52,150.63,36592406,5511914115.78
2019-01-09,AAPL,151.29,154.53,149.63,153.37,40827842,6261766127.54
2019-01-10,AAPL,152.5,153.97,150.86,153.55,32553301,4998559368.55
2019-01-11,AAPL,152.88,153.7,151.51,152.0534,22850904,3474557646.2736
2019-01-14,AAPL,150.85,151.27,149.22,149.76,26038136,3899471247.36
2019-01-15,AAPL,150.27,153.39,150.05,152.95,25862287,3955636796.65
2019-01-16,AAPL,153.08,155.88,153,154.91,27032885,4187664215.35
2019-01-17,AAPL,154.2,157.66,153.26,155.53,26717099,4155310407.47
2019-01-18,AAPL,157.5,157.88,155.9806,156.57,30450605,4767651224.85
2019-01-22,AAPL,156.41,156.73,152.62,152.93,24086204,3683503177.72
2019-01-23,AAPL,154.15,155.14,151.7,153.6799,20246607,3111496539.0993
2019-01-24,AAPL,154.11,154.48,151.74,152.63,20669415,3154772811.45
2019-01-25,AAPL,155.48,158.13,154.32,157.5,29575048,4658070060
2019-01-28,AAPL,155.79,156.28,153.66,156.0878,22270959,3476224994.2002
2019-01-29,AAPL,156.25,158.13,154.11,154.5,30723484,4746778278
2019-01-30,AAPL,163.25,166.15,160.23,165.49,49026033,8113318201.17
2019-01-31,AAPL,166.11,169,164.56,166.6249,31699885,5281990168.1365
2019-02-01,AAPL,166.96,168.98,165.93,166.62,25342728,4222605339.36
2019-02-04,AAPL,167.41,171.655,167.28,170.99,26912592,4601784106.08
2019-02-05,AAPL,172.86,175.08,172.3501,174.01,31860037,5543965038.37
2019-02-06,AAPL,174.65,175.57,172.8531,174.1699,25696142,4475494482.5258
2019-02-07,AAPL,172.4,173.94,170.34,170.64,28233078,4817692429.92
2019-02-08,AAPL,168.99,170.66,168.42,170.04,20428524,3473666220.96
2019-02-11,AAPL,171.05,171.21,169.25,169.43,17954651,3042056518.93
2019-02-12,AAPL,170.1,171,169.7,170.7384,18989903,3242305654.3752
2019-02-13,AAPL,171.39,172.48,169.92,169.98,19353125,3289644187.5
2019-02-14,AAPL,169.71,171.2615,169.38,170.98,18263570,3122705198.6
2019-02-15,AAPL,171.25,171.7,169.75,170.25,22555013,3839990963.25
2019-02-19,AAPL,169.71,171.44,169.49,170.8499,16672024,2848413633.1976
2019-02-20,AAPL,171.19,173.32,170.99,172.09,22439817,3861668107.53
2019-02-21,AAPL,171.8,172.37,170.3,171.14,15647117,2677847603.38
2019-02-22,AAPL,171.58,173,171.38,172.97,15245361,2636990092.17
2019-02-25,AAPL,174.16,175.87,173.95,174.26,19540227,3405079957.02
2019-02-26,AAPL,173.71,175.3,173.1732,174.35,14716104,2565752732.4
2019-02-27,AAPL,173.26,175,172.73,174.88,22914417,4007273244.96
2019-02-28,AAPL,174.32,174.91,172.92,173.2,19815729,3432084262.8
2019-03-01,AAPL,174.28,175.15,172.89,174.97,20830861,3644775749.17
2019-03-04,AAPL,175.69,177.75,173.97,175.86,24195978,4255104691.08
2019-03-05,AAPL,175.94,176,174.54,175.51,15413946,2705301662.46
2019-03-06,AAPL,174.67,175.49,173.94,174.51,17535168,3060062167.68
2019-03-07,AAPL,174.02,174.44,172.02,172.47,20110131,3468394293.57
2019-03-08,AAPL,170.32,173.07,169.5,172.92,19475688,3367735968.96
2019-03-11,AAPL,175.49,179.12,175.35,178.98,26225966,4693923394.68
2019-03-12,AAPL,180,182.67,179.37,180.94,27277399,4935572575.06
2019-03-13,AAPL,182.25,183.3,180.92,181.72,23960992,4354191466.24
2019-03-14,AAPL,183.9,184.1,182.56,183.73,19457731,3574968916.63
2019-03-15,AAPL,184.66,187.33,184.66,186.21,21750706,4050198964.26
2019-03-18,AAPL,185.8,188.39,185.79,188.03,22563772,4242666049.16
2019-03-19,AAPL,188.35,188.99,185.92,186.54,26863005,5011024952.7
2019-03-20,AAPL,186.23,189.49,184.73,188.17,26974003,5075698144.51
2019-03-21,AAPL,190.02,196.33,189.81,195.05,42720798,8332691649.9
2019-03-22,AAPL,195.34,197.69,190.78,191.06,38334323,7324155752.38
2019-03-25,AAPL,191.55,191.98,186.6,188.77,40742481,7690958138.37
2019-03-26,AAPL,191.64,192.88,184.58,186.79,43454017,8116775835.43
2019-03-27,AAPL,188.75,189.76,186.55,188.47,26586290,5010718076.3
2019-03-28,AAPL,188.95,189.559,187.53,188.71,19309376,3643872344.96
2019-03-29,AAPL,189.99,190.08,188.54,189.94,18489986,3511987940.84
2019-04-01,AAPL,191.64,191.68,188.38,191.24,12098014,2313624197.36
2019-04-02,AAPL,191.09,194.46,191.05,194.04,19797454,3841497974.16
